rid,uid,role,feature,benefit,novelty_avg
2429,394,grand parent,An alarm to go off if anyone tries to open any door.,"A child does not exit unattended, and get lost or hurt.",Safety,4.0000
2430,393,pet owner,an indicator of when the dog goes in and out the door,I can always track when my dog goes inside and out.,Safety,2.6667
2431,402,lazy person,my bed to slowly tilt so that I roll out of it in the morning ,I don't stay in bed too long,Health,3.5000
2432,395,home occupant,doors to be auto locked when entering or leaving the home,i am protected from a robbery or forgetting to lock the doors,Safety,3.0000
2433,398,home occupant,my television system to recommend movie and teach shows off of the selective user at the time and begin playing such film or show,"I would be able to dive into watching movies, rather than shift through selections myself",Entertainment,2.2500
2434,393,home owner,to be able to shut down my entire houses electricty,when I go on vacation or away I don't have to worry about it.,Energy,4.0000
2435,402,paranoid person,a doorbell with facial recognition ,I can creep on the people coming to my house/tell who is outside ,Safety,3.3333
2436,395,home occupant,my tv to auto shut off when there is no one sitting in front of it,i save energy,Energy,2.0000
2437,400,home occupant,an app to unlock doors so I can let guests in even if I'm busy elsewhere ,so if I'm busy people don't have to wait for me i.e in the shower,Safety,3.0000
2438,398,home occupant,my smart home to automatically warm the floors in my home depending upon if the room is in use,I would be able to walk around my home without wearing anything on my feet,Energy,4.0000
2439,392,parent,my smart home to automatically put up barriers to certain rooms,my child does not wander into places they shouldn't,Safety,4.3333
2440,399,home owner,my smart house to alert me about the septic tank,costly repairs can be avoided.,Health,4.0000
2441,402,weirdo,windows that can project images that looks like there are ghosts in my house,I can scare away neighborhood children ,Safety,3.0000
2442,394,home owner,my smartphone to start the oven to cook dinner.,"When I get home, it will be preheated.",Entertainment,3.0000
2443,397,home occupant,my smart home to automatically turn off appliances like heating ovens and toasters if no one is home.,I don't have to worry about it.,Safety,3.3333
2444,392,home owner,a bathroom mirror that begins an anti-fog procedure during and after showers,I can shave more easily,Safety,3.6667
2445,402,gardener,a pop up scarecrow/airhorn system,I can scare away neighbors and unwanted animals,Entertainment,3.6667
2446,395,home occupant,my washing to run only when there is a full load of laundry,i will conserve energy and water by only running when necessary ,Energy,4.0000
2447,399,home owner,my smart home to alert me if the roof has been comprimised,further costly repairs can be avoided.,Safety,3.5000
2448,400,home occupant,laser tripwires installed that are app controlled in geometric patterns that set off alarms,burglers can't burgle,Safety,3.0000
2449,398,home occupant,my smart phone to link to the surround sound to indicate my schedule and remind of things I might have planned for the day,"I can stay on time with my activities throughout the day,",Entertainment,4.0000
2450,392,home owner,a shower that will go to my preferred temperature with a button press,I can shower more easily,Health,2.3333
2451,402,dirty person,an automatic bath which fills to my desired temperature and depth,I can stink less,Health,2.5000
2452,399,home owner,my smart home to alert me to any pest intrusion,I can have them removed or abated.,Health,4.3333
2453,392,home owner,a fish tank that will automatically feed fish,my fish will be fed without having to think about it,Other,3.3333
2454,400,parent,smart electric sockets that only work if an actual plug is inserted,my kid can't stick metal crap in sockets and kill himself,Safety,4.7500
2455,395,home occupant,an beep alert when someone enters my driveway,i always know what is happening outside my house,Safety,3.5000
2456,402,hippie,"a tiny toy train that gathers up my recyclables and sorts them for me, like a coin sorting machine",I can recycle easily ,Energy,3.3333
2457,398,home occupant,my smart fridge to connect with my phone to indicate whether I am running low on neccessary food suuplies,I would always be prepared when I go to the grocery store,Health,3.6667
2458,399,home owner,my smart house to alert me about stppages in gutters and downspouts,flooding and water damage can be avoided.,Safety,4.0000
2459,394,home owner,My smart home to prevent long showers.,my water bill will stay at a minimum,Energy,2.6667
2460,397,person that loves to be fit,"my smart home to record my weight, body fat, and my daily calorie intake,",I can keep an accurate record.,Other,1.5000
2461,401,home occupant,If any letter dorped in my letter box.,I can know immidietly.,Other,3.3333
2462,402,cat owner,a series of well placed airhorns (but a different frequency than the litter box airhorn and the garden airhorn) ,I can spook the cat off of unwanted surfaces ,Entertainment,4.3333
2463,399,home owner,my smart home to alert me when my wife is headed home,I can have dinner ready for her!,Entertainment,3.6667
2464,400,parent,app controlled motion detectors so i know if my child is going someplace he isn't supposed to be,when i'm busy my kid can't wander off and get hurt,Safety,4.3333
2465,395,home occupant,my curtains to auto open and close at certain times,i can get the proper lighting and the house will be safer at night because no one can peer in,Safety,4.0000
2466,397,home occupant,"my smart home to play my playlists or audiobooks no matter where I am in the house,",I can enjoy them wherever I might be.,Entertainment,3.3333
2467,394,home owner,my smart home to alert me when my mail is delivered,I can get it as soon as possible when I am waiting for certain mail,Other,4.0000
2468,401,home occupant,if the weather is near to raining,I can close the window.,Safety,4.0000
2469,400,home occupant,"smart ovens and toasters that can maintain the temperature of food, even when cold so that you can put breakfast in the oven/toaster overnight and have it cook on a timer or via app",i can be lazy and cook from bed,Other,3.6667
2470,395,home occupant,toilets to auto flush when necessary to conserve water ,i do not waste water,Energy,2.5000
2471,398,home occupant,the shower temperature to be adjust based off the users pervious settings,"it would cut back on the wait time for the bathroom, since the temperature is already preset for the users perferences. ",Energy,4.0000
2472,404,home owner,"all electronics attached to circuit breaker, and the home to turn off the breaker after a long period of inactivity",I can save electricity,Energy,3.0000
2473,395,home occupant,the litter box to be auto cleaned when dirty,the house stays sanitary and the air is always clean,Health,4.5000
2474,398,home occupant,the shower to have a preset music and radio system ,I can listen to the news while preparing for work or school,Entertainment,3.0000
2475,404,daughter of a senior citizen,spoken reminders to take medicine at the right times,doses aren't skipped or doubled,Health,3.6667
2476,397,"environmentally conscious home occupant,","my smart home to dim or turn off lights if no one is home, ",I know I'm not wasting energy.,Energy,1.0000
2477,394,home owner,my smart home to notify me when there is a faulty outlet or wiring.,I can have it fixed and prevent a hazard such as a fire; and the house will not burn down.,Safety,4.3333
2478,399,home owner,my smart home to update me on food inventory while I am shopping,I buy what is needed and avoid over buying.,Other,3.5000
2479,400,home occupant,app/alarm controlled retractable stairs,the second floor can be secure in case of zombie attacks or a swat raid,Safety,3.6667
2480,399,home owner,my smart home to notify me when items have expired,I can dispose of properly.,Safety,2.2000
2481,400,parent,smart toilets that automatically urine test ,i know when my kid is smoking doobies after school,Other,4.6667
2482,397,pet owner,"my smart home to automatically give my cats kibble if I don't get home by a certain time,",I know my cats don't go hungry.,Health,4.3333
2483,404,cook,"my refrigerator to recognize, inventory, and display everything inside",I won't waste energy and time staring into it,Energy,3.5000
2484,398,parent,my entertainment system to alert me off the movies and tv shows my children are watch ,I can monitior the programs that my children are viewing when I am not in the room with them,Entertainment,3.6667
2485,394,home owner,my smart home to alert me when someone is using a computer,I can monitor what the grand kids are viewing.,Safety,1.6667
2486,399,home owner,my smart home to open dog doors at set intervals,my dogs can go outside when I am not home.,Health,4.5000
2487,401,parent,monitor my childrens TV,so I can prevent them to watch bad channels,Entertainment,3.3333
2488,391,home owner and father,A light that will go off in my room at night when there are noises in the house,I can wear my headphones when watching movies on my iPad late at night and can also be aware of one of my kids are up or there are any disturbances in my home.,Safety,4.0000
2489,404,home owner,a zapper that automatically zaps insects that may come inside,I can avoid an infestation,Health,4.0000
2490,400,home occupant,a smart closet that keeps track of what i wear and chooses outfits for me ,i'm always looking sharp and don't wear the same outfits all the time,Other,3.6667
2491,397,home occupant,"my smart home to always be connected to the internet,",I can control certain home functions like the lights or thermostat whether I am home or away.,Energy,2.5000
2492,401,parent,monitor if there any insect in the room,to prevent insect bite.,Health,4.0000
2493,391,home owner,a voice controlled door and window lock,I don't miss any,Safety,2.7500
2495,397,pet owner,"my smart home to give me access to video from within my home,",I can keep an eye on things if I'm away for a long time.,Safety,2.6667
2496,391,movie buff,something to list all new available movies within all of my available platforms in a single location,I know when something new is available,Entertainment,3.0000
2497,391,music lover,voice controlled speakers and stations,I don't have to search for remotes,Entertainment,3.6667
2498,404,pet owner,"my home to interact with my pets when I am away, by dispensing treats, toys, turning on water, etc",my pets are happy and occupied,Entertainment,3.6667
2499,401,home owner,"monitor external wall, if there any mud",I can repair it on time,Safety,3.6667
2500,397,home occupant,"my smart home to send me texts or email updates on energy use,",I know where I'm using the most energy.,Energy,3.6667
2501,391,cook,the stove and oven to auto set to the correct temperature for the dish I'm cooking,It cooks appropriately,Health,2.6667
2502,391,exercise enthusiast,A weight scale to store and analyze my weight trends,I know where I stand,Health,3.6667
2503,394,home owner,my smart home to remind me when my bills are due.,I do not risk having my utilities disconnected due to late or non-payment,Safety,3.0000
2504,397,home occupant,"my smart home to notify me immediately if there are weather alters in my area,",I know if something bad is happening.,Safety,1.5000
2505,391,coffee lover,a coffee pot that can be controlled via mobile app,I don't have to manually set the pot,Health,2.6667
2506,404,cook,I want my smart home to project voice activated recipes and information from the internet onto the wall,I don't have to touch anything with dirty hands if I need to know something unexpected,Entertainment,4.3333
2507,391,money conscious person,To be aware of my utility usage and estimated cost at any time,I can not be surprised when the bills arrive and can take steps to cut back when we've used excess.,Energy,3.3333
2508,404,woman who wears makeup,voice activated light settings with different shades of lighting,"I can see myself in ""natural light"" and other light while still in my bathroom",Other,4.3333
2509,391,person who hates stepping out the shower in the cold air,a heater that will heat the bathroom to a certain degree while the shower is on,I'm comfortable after my showers,Health,3.0000
2510,394,home owner,my smart home to let me know when the air inside becomes contaminated with uncleanliness or germs that can spread,I can use an air cleaning system to clean the air,Health,4.0000
2512,404,gardener,moisture detecting sensors in the ground,the sprinklers can automatically water as necessary,Other,3.6667
2513,405,parent,the pool to alarm when anyone gets in without using the code,my toddlers won't drown,Safety,4.2500
2514,405,parent,the door to alarm when anyone under a certain height opens it,my toddlers won't escape,Safety,4.3333
2515,401,home occupant,monitor room lights.,to mentain room lights as per requirment all time,Health,3.3333
2516,405,pet owner,an alarm when the dog is chewing something I didn't give him,so he can't chew everything in site,Safety,3.6667
2517,404,pet owner,my smart home to automatically raise windows in the event of a fire ,I and my pets can escape (especially so they can escape when I am not home),Safety,4.6667
2518,405,pet owner,a camera linked to my smart phone with video of the dogs,i can supervise them when I'm not in the same room,Safety,3.6667
2519,405,cat owner,a siren to go off when the cat gets on anything they shouldn't,they don't contaminate food or make messes,Health,4.3333
2520,401,home occupant,monitor electric line if there any lickege.,prevent possible disaster,Safety,2.6667
2521,404,home occupant,my smart home to automatically contact the fire department in case of a fire,they can come as quickly as possible,Safety,2.0000
2522,405,dog owner,an alarm on the garbage can that goes off when anything is removed by something on 4 legs,they don't eat out of the garbage,Health,3.6667
2523,404,home occupant,my smart home to automatically dispense fire extinguishing (safe) chemicals in case of a major fire,damage will be limited,Safety,4.0000
2524,405,home occupant,self cleaning toilet,so its always clean,Health,4.6667
2525,405,home occupant,a self closing toilet with a lock,I don't sit in the water and toddlers can't get in to play,Safety,2.5000
2526,405,payer of bills,an alert when the water in the toilet or any water appliance is leaking,i don't waste water,Energy,5.0000
2527,405,payer of bills,light sensors built into plugs used for Christmas lights,so they shut off in daylight automatically,Energy,2.0000
2528,401,home occupant,my smart phone notify me when my fevarite program on my TV.,I can watch it.,Entertainment,2.6667
2529,406,home occupant,Self loading washer and dryer ,Myself and elderly people or people with back problems can have an easier time doing laundry,Health,4.0000
2531,401,home occupant,norify me if I put things in wrong place,I can put it on right place,Safety,5.0000
2533,406,pet owner,Self refilling food bowls,My pets can have enough to eat if I have to take long trips,Safety,4.0000
2534,406,home occupant,appliances that automatically power off when not in use,I can save energy and money,Energy,3.2000
2535,406,consumer,App that lets me know when I need to purchase more of something,I never run out of things ,Health,2.3333
2536,406,home occupant,self watering plants,My plants can continue to be watered when I'm away,Health,5.0000
2538,406,video game player,automatic updating consoles,I can get the latest downloads and updates instantly,Entertainment,2.3333
2539,406,home occupant,Air chemical detection system,"I know what is in the air, especially when home renovation is happening",Safety,3.6667
2540,406,caregiver,fall detection walls/floors,I know if a loved one has fallen or is hurt,Safety,3.6667
2541,406,home occupant,Smart recipe books,I can make meals/recipes based on whatever I have in the house,Health,4.0000
2545,411,home occupant,a setting that will turn off all lights when movement is not detected in a room,I can save on electricity.,Energy,4.0000
2546,411,home occupant,a stove that has voice comand settings ,can save time whilst I prep.,Other,3.6667
2547,411,home occupant,a siri like feature where my house can google things,I can have a talking house.,Entertainment,2.5000
2548,411,home occupant,to be able to control the heat of the water to the degree,"I can get the perfect shower, or bath.",Health,3.3333
2549,411,home occupant,automatic locks on the doors,I ensure there will never be human error.,Safety,2.0000
2550,411,home occupant,an alarm feature that has pressurse sense windows  ,I can ensure the protection of my home.,Safety,2.3333
2551,411,home occupant,A feautre to take the humidity out of the air,it is refreshable breathable air.,Energy,4.0000
2552,411,home occupant,"A thermostat that flucuates with the peak levels of electricity use, and regulates itself",I save on energy costs.,Energy,2.2500
2554,411,home occupant,A floor feature  that sucks up loose debris intov vents in the wall,I never have to vaccum again.,Other,2.0000
2555,413,home occupant,when leaving outside all the lights to be turned off.,my current bill would be less.,Energy,2.7500
2556,413,parent,should monitor when the tv is on and what kind of shows my kid sees,i will guide her well,Safety,3.5000
2557,413,parent,to get alerts when any kind of natural disasters going to happen.,to save my family.,Safety,2.0000
2558,413,parent,to have all the required medicines,i dont want to go to shop last time.,Health,2.0000
2559,413,home occupant,to wake me up at the correct time in the morning.,i can prepare and move ,Health,2.0000
2560,413,home occupant,"to get alert daily weather, accordingly set the water heater temperature.",so that i can get a good bath and wear clothes accordingly.,Health,2.6667
2561,413,home occupant,to get alerts when someone knocks my door.,i can get alerted when a stranger enters in.,Safety,2.5000
2562,413,home occupant,to know when the water in the tank is going to fill.,so that water can be saved from pouring from it.,Energy,2.0000
2564,413,home occupant,"when going to bed , in a single click all the led bulbs, switches should be turned off.",so that i dont want to go to all the rooms to off the unwanted lights.,Safety,4.0000
2565,415,parent,the house to wake my kids up in the morning,I dont have to do it,Health,3.2500
2566,414,home owner,an automatic vacuum,the house is clean when I get home from work,Health,2.3333
2567,413,home occupant,to know any cameras targeting us to capture us without our permission.,we would be more safe.,Safety,2.4000
2568,415,home owner,the doors to lock automatically behind me when coming or going.,the house will always be secure,Safety,2.7500
2569,414,home owner,outside motion detectors and a video recorder,I know if someone has been trespassing on my property,Safety,1.6667
2570,415,mother,the bathtub to self regulate water tempertature,my kids never get burned by hot water,Safety,4.0000
2571,414,home owner,a smart dishwasher,my dishes will be cleaned while I'm at work,Other,3.3333
2572,415,occupant,my tv to find my favorite shows automatically,I dont have to search for them,Entertainment,3.6667
2573,414,home owner,a gas detector,"if there's carbon monoxide or other poisonous gases inside, the authorities are notified",Safety,3.6667
2574,415,pet owner,my home to remind me when its time to walk the dog,I never forget,Health,4.3333
2575,414,home occupant,a smart washing machine that turns on automatically or by remote command,the clothes are washed and ready to be placed in the dryer by the time I get home from work,Energy,3.6667
2576,415,home owner,the windows to open and close at the touch of a button,I never struggle with opening or closing a window again.,Safety,5.0000
2577,414,home occupant,water leak detection,I or authorities are notified if a pipe bursts or leaks,Safety,3.0000
2578,415,parent,my kitchen to tell me when Im low on the kids favorite foods,I never run out of anything,Health,4.0000
2579,414,child,a smart video game system,it knows what I want to play when I turn it on,Entertainment,3.0000
2580,415,home occupant,my home to turn off lights automatically when someone leaves a room,electricity is not wasted.,Energy,2.5000
2581,414,home occupant,smart smoke alarms,the authorities are notified if there's a fire and my family is awoken so they can escape.,Safety,4.0000
2582,415,home owner,the house to inform me of any insect intruders,I can keep my home bug free,Health,3.5000
2583,414,parent,a pool alarm,I am notified if a child should wander onto the grounds where the swimming pool is located,Safety,4.0000
2584,414,home office worker,a smart computer system,it is up and ready for work in the morning automatically without my having to turn it on,Other,2.3333
2585,417,home occupant,a bathtub that fills to a predetermined water level,I don't use an excess of water,Other,3.0000
2586,417,home occupant,a thermostat that regulates the temperature inside the house and turns off when needed,it cuts down on energy costs,Energy,3.0000
2587,417,home occupant,lights that turn off in rooms when there is no movement detected in a certain amount of minutes,it cuts down on energy costs,Energy,3.6667
2588,417,home occupant,a low flow toliet that automatically flushes when someone walks away,it saves water and you never have to manually flush again,Other,2.2500
2589,417,home occupant,"electronics to automatically come on at set time, around the time I arrive home from work",dont have to do it myself and can immediately relax,Entertainment,3.0000
2590,417,home occupant,a surveillance system that records movement outside my house and uploads it to my home server,I can see any potential intruders,Safety,2.0000
2591,417,home occupant,a health monitoring system that can detect my blood pressure and other critical health factors,I can take precautionary measures to live a better and healthier life,Health,3.3333
2592,417,home occupant,a food device that organizes food portions and/or calories,I can maintain a healthy weight and lifestyle,Health,4.6667
2593,417,home occupant,a securty system that automatically locks doors and windows after a certain time of the day,I can keep intruders out of my house when I'm not there or I'm sleeping,Safety,3.0000
2594,417,home occupant,a device that heats the roof of the house to melt snow,"if there is ever a large snowstorm, I dont run the risk of my roof colapsing",Safety,4.2500
2595,419,cook,to know when my spices are getting low,I know when to buy another of that spice,Other,3.0000
2596,419,cook,a shopping list to be generated automatically when I throw away empty containers of food,I don't have to write down and maintain the grocery list,Other,4.3333
2597,419,dog owner,"the door to unlock open automatically when my dog needs to use the bathroom, then let him back in, and then shut and lock the door behind him",I don't have to go home on my lunch break to let the dog out,Energy,4.3333
2598,419,home owner,the Christmas lights to turn off and on automatically,I don't have to worry about a fire,Safety,3.0000
2599,419,home owner,the thermostat to automatically detect when we are in REM sleep to decrease the temperature,we save money and energy,Energy,4.5000
2600,419,home owner,a vacuum that automatically cleans the floor when it senses that it is dirty,my floors stay clean,Other,4.3333
2601,419,home owner,a garage door that automatically sense when I get in my car and opens the door or when my car approaches the door and opens the door,I don't have to use a garage door opener,Other,4.6667
2602,419,home owner,smart key locks,I can open my doors with my smartphone or a fingerprint sensor if I lose my keys,Safety,3.5000
2603,419,home owner,a smart shower that reads temperature and time spent in the shower,"I can save water, time, and energy",Energy,5.0000
2604,419,music listener,a refrigerator that plays music,I can easily listen to music while cooking and doing meal preparation,Entertainment,3.0000
2605,420,home occupant,my shower to immediately turn to a warm temperature before I get in,I can have a comfortable show,Health,2.0000
2606,420,parent,front door to lock if I am in the shower or busy cooking,my child cannot get out on their own,Safety,3.6667
2607,420,home occupant,my water heater to turn off by itself at night,I can save money on my electricity and water bills,Energy,4.0000
2608,420,home occupant,my television to automatically turn off if I fall asleep on the couch,it doesn't waste extra electricity,Energy,4.0000
2609,420,parent,my stove to immediately cool down after I am done cooking,my child cannot get burned,Safety,3.0000
2610,420,home owner,my doors to lock if an intruder comes in,they cannot escape and will be caught by police,Safety,3.7500
2611,420,parent,my pool to automatically cover itself when my child is playing outside,they will not fall in or rown,Safety,4.0000
2612,420,home occupant,my blinds to close when the house gets too sunny,it stays cool inside,Energy,3.0000
2613,420,home occupant,my dishwasher to automatically open when it's finished,the dishes can dry out easier,Other,3.7500
2614,420,parent,my tub to stop filling when it reaches halfway,my child can easily take a bath safely,Safety,4.3333
2615,427,home owner,a security system that informs me of doors opening,I can know who is in my home at any time,Safety,3.6667
2616,427,gamer,the house to increase the volume when I'm playing,I can enjoy the game more,Entertainment,2.6667
2618,427,friend,my house to adjust lighting based on how many people are there,people can see well and the house is nice looking,Energy,3.6667
2620,427,music fan,my house to turn speakers on depending on which room I'm in,I can hear my music wherever I go,Entertainment,3.3333
2622,423,parent,to protect my children from harm,they will feel safe in their own home and in the immediate area of the home,Safety,2.3333
2623,429,renter,to be able to notify my landlord when there is a maintenance problem automatically though a smart home app.,i don't have to take the time and contact the landlord when I have a maintenance problem,Other,4.0000
2624,427,parent,the lights to dim when it gets late,my children will get sleepy and know when it's time for bed,Energy,3.3333
2625,427,parent,the oven to only function when I'm in the kitchen,the kids won't hurt themselves,Safety,3.0000
2627,424,home occupant,the fireplace to turn on as soon as I enter the living room,I can be warm and comfortable in the winter,Energy,3.5000
2628,423,smoker,a reminder or alarm sent when I have a lit cigarette and I am not in the same room,I can prevent potential fires,Safety,3.6667
2629,427,home owner,the windows to automatically lock at night,I can prevent break-ins,Safety,4.0000
2630,429,father,to be able to have a robot with cameras on it roam my house at my control.,I can see what's going on with my children when i'm not home.,Entertainment,3.3333
2631,427,parent,the garage door to only open on my command,the kids can't get out of the house,Safety,3.0000
2632,426,home occupant,my smart home to inform me if I haven't consumed enough calories at certain points in the day. ,I would be able to have energy throughout the day. ,Health,4.0000
2633,424,parent,an alarm every time my child gets close to the top of the stairs,a fall can be prevented,Safety,4.3333
2634,429,sports fan,my televisions to be automatically switched to the stations that my favorite sports teams are playing on.,I don't forget to watch the games.,Entertainment,2.6667
2635,427,home owner,the temperature to automatically adjust based on how hot or cold it is outside,I am comfortable,Energy,3.5000
2637,423,person who likes movies,a projector that can be hidden when not in use but when in use can use a wall as a screen with the clarity of a HD TV. ,we can watch movies and TV on a big screen,Entertainment,2.0000
2639,429,car owner,to be able to start my vehicle from a button inside the house.,I don't have to use an app on my smartphone or go outside to start my car.,Other,3.5000
2640,424,music lover,my Pandora station to turn on when I enter a room,I can enjoy my music without effort,Entertainment,3.5000
2641,423,home owner,"a mutil detector for smoke, radon, carbon monoxide all in one unit ",I do not have to have many detectors for different elements in my home,Safety,3.0000
2642,429,farmer,to be notified when my crops need to be watered,i know when to water them,Energy,3.2000
2643,426,home occupant,lights in my smart home to open when I enter a room and turn off as I leave. ,I can conserve energy and save money. ,Energy,4.0000
2645,429,connoisseur of fine bathroom entertainment,a panoramic theater system in my bathroom,I can i can be entertained while I go poopoo.,Health,3.3333
2646,433,home owner,my smart home to turn off the oven after a certain time,I wont burn the food,Safety,4.0000
2647,429,energy conservationist,to shut off my hot water heaters when I am not at home ,I save energy by not heating water when I don't need it.,Energy,4.0000
2648,423,bath taker,a feature that can fill a tub remotely to the temperature I set as well as dispense correct amounts of soap/bubble bath ,I can do other things while the tub is filling or I can have the tub ready for me when I get in. ,Health,4.3333
2649,433,home owner,my lawnmower to mow automatically,I wont have to mow the lawn,Energy,3.3333
2650,424,health conscious person,a screen in the kitchen that will choose healthy dinner recipes for my family on a nightly basis,I don't have to make decisions on what to cook for dinner,Health,2.0000
2651,429,pet owner,some kind of food dispenser that knows when to feed my cats and dogs,I do not have to do it,Other,2.3333
2653,433,home owner,my alarm to go off when my child opens the door,my kids will be safe,Safety,3.0000
2654,423,cook,a feature in my stove that will tell me the exact temperature of not just the stove but the burners and grill feature as well when in use,I can monitor my food being cooked to the exact degree as some things need precision. ,Entertainment,3.5000
2655,433,parent,my smart home to turn on the lights when my child cries,I may not have to get up at night,Entertainment,3.0000
2658,433,parent,my smart home to send a warning if the oven gets turned on by child,my child will be safe,Safety,4.3333
2660,429,uncle,my home to automatically recognize my nephews and nieces through facial recognition software and give them access to the house when they visit.,I do not have to give them a key.,Other,4.6667
2661,433,parent,my smart home to automatically lock doors at night,my family will be safe,Safety,4.0000
2662,435,home occupant,electronics to turn themselves off if not being used in a certain amount of time,electricity consumption is reduced,Energy,3.5000
2663,434,home occupant,to be notified when a package is left,I can grab it and am aware it's there,Safety,5.0000
2664,423,pet owner,a vacuum cleaner that can automatically clean all pet areas on a daily basis or any area in which they have food or a high concentration of hair,I can keep these areas clean - they seem to get dirtier faster. ,Health,2.6667
2665,424,parent,a healthy snack dispenser that will be accessible to my child at predetermined times throughout the day,my child can have an approved snack without having to ask,Health,4.2500
2666,433,home owner,my smart home to  immediately sound alarm if smoke is found,my family will be safe,Safety,3.2500
2667,434,music lover,my favorite music to play at good times of day,I can enjoy it,Entertainment,4.0000
2668,426,home occupant,toilets to flush automatically.,I don't have to waste time doing it. ,Other,1.0000
2669,435,home occupant,lightbulbs that turn off if a human presence is not detected,energy will be saved.,Energy,3.6667
2670,434,pet owner,the house to know how much food I have left,it can order some more,Health,3.5000
2671,433,home owner,my smart home to sound an alarm if someone is walking around after night,my family will be safe,Safety,3.3333
2672,424,home occupant,a system that will turn on sprinklers and automatically open windows and drop down ladders in the case of a fire,my family can quickly evacuate,Safety,4.0000
2673,423,neighbor,to keep my leaves from falling into the neighbors' yard in the fall so I want a machine that can somhow detect a falling leaf and send to to the ground on my own property,my elderly neighbors do not have to rake leaves that are not theirs. ,Other,4.0000
2674,434,healthy person,exercise to turn to electricity,I can contribute,Energy,3.0000
2675,434,home occupant,the house to adjust the temp to lower while I'm asleep,I can save energy,Energy,2.5000
2676,435,movie watcher,"a tv that gathers information about what I watch, and recommends movies to me",I can broaden my movie collection,Entertainment,2.5000
2677,434,pet owner,the house to feed the cat,I don't have to ,Health,4.3333
2679,433,parent,my smart home to alarm if there is excessive screaming,my family will be safe,Safety,5.0000
2680,434,gamer,the house to have a gaming mode,lighting and sounds are adjusted,Entertainment,5.0000
2681,423,parent of a young child (6),a feature that will set out his clothes for him on a daily basis - basically a system that will put from his closet,he can get dressed without issue in the morning and not have us help him when we could be doing other things,Other,4.0000
2682,435,home occupant,floors that stay a certain temperature,so I don't get cold,Energy,3.5000
2683,434,businessman,the house to grab the mail,I don't have to go to the mailbox,Safety,5.0000
2684,424,home occupant,"a trash can that will automatically sort and bag trash, recycling and compost",we can practice conservation with minimal effort,Energy,4.6667
2685,435,home occupant,a shower feature that remembers my favorite temperature and automatically sets the correct temperature,I can take a nice shower,Other,4.0000
2686,426,home owner,doors to unlock automatically if I am specifically detected. ,I don't need to deal with keys. ,Other,3.5000
2687,434,occupant,the kitchen to clean itself,I don't have to ,Health,4.0000
2688,423,pool owner,"a feature that can automatically drain my pool in the fall/winter, cover it, and then refill it in the spring",we can enjoy the pool in the months we can use it. ,Entertainment,4.0000
2689,434,pet owner,the house to reprimand the animals ,I don't have to ,Health,3.1667
2690,424,reality tv fan,my TV to find all of my favorite shows on demand,I can watch what I want without having to search,Entertainment,2.0000
2691,426,home occupant,doors to open automatically. ,I can save time. ,Other,2.5000
2692,435,pet owner,a motion detector in the kitchen,I know when my dogs go in there,Other,3.2500
2693,433,parent,my smart home to notify me if someone leaves out or comes in after midnight,I will know if there is toruble,Safety,1.0000
2694,433,home owner,my smart home to notify me if there is a leak in the roof,I can prevent further damage to my home,Safety,4.3333
2695,424,home occupant,a stove that can cook multiple items at different temperatures at the same time,I can prepare a meal and save time,Energy,2.6667
2696,426,home occupant,communication to open up with anyone in the house when prompted. ,I can talk to someone without having to find them. ,Other,4.0000
2697,435,home occupant,a space heater that actually maintains the temperature in the room,my utility bill will be reduced,Energy,4.0000
2698,436,home owner,food created on demand,I can have exactly what I want when I want it.,Health,4.0000
2699,438,parent,my smart home to alert me when anything rated higher than TV PG is playing on the televisions in the house ,I will know to supervise my kids' TV viewing or to block a show or channel,Entertainment,2.5000
2700,424,parent,sensor that will monitor my child's body temperature at all times,I can tell when he has a fever,Health,3.6667
2701,435,pet owner,a camera that connects to my smartphone and comes on when it detects pets but not humans,I can keep a watchful eye on my precocious dogs.,Safety,4.0000
2702,438,home owner,my smart home to alert me to reports of impending violent weather,I can make preparations for safety,Safety,3.3333
2703,436,home owner,a smart shower system,water pressure and heat will remain consistent and strong for the duration of my showers.,Energy,4.0000
2704,432,home occupant,Toilet to automatically flush with voice activation.,So I don't have to touch the toilet handle. ,Health,5.0000
2705,426,home occupant,to be informed if a person has fallen anywhere in the house. ,I can check to make sure they are OK. ,Safety,3.6667
2707,438,home owner,my smart home to alert me when any light bulb has fewer than 8 hours of life remaining,I can replace them before getting trapped in the dark,Energy,4.5000
2708,432,parent,the crib to have motion detection. ,the crib can automate and control baby's crying with voice control and notify me of potentially dangerous situations. ,Safety,3.0000
2709,436,home owner,a smart floor,"when the interior temperature reaches a certain point, the floors will warm up automatically.",Energy,3.6667
2710,426,home occupant,"my smart home to alert me when streams, shows, podcasts I am interested in are coming on or are posted. ",I don't miss something I want to listen to or watch. ,Entertainment,4.5000
2711,432,home occupant,lights to auto adjust dimness based on time of day. ,I can save electricity and regulate my sleep schedule with natural lighting. ,Energy,2.5000
2712,435,home occupant,appliances that have a feature like new cars that let you know when your tire pressure is low,my appliances can let me know when a part starts going out,Other,3.6667
2713,438,home owner,my smart home to alert me to reports of crimes in the area,I can be on alert for security,Safety,3.5000
2714,430,home occupant,Rollup window blind sensors,The window blinds will open automatically during daylight hours and then close when it is dark.,Energy,4.0000
2715,439,home occupant,a sensor in the fridge,it will detect any rotting food or food with bacterium in it so I know to avoid eating it,Health,4.0000
